set_,Background,Animals,Asphalt,Cat's eyes,Cracks,Dirt road,Ego,Hard sand,Markings,Obstacles,People,Potholes,Retaining walls,Soft sand,Speed bump,Vehicles,Wet sand,model,train,eval
train,99.3,77.4,96.1,58.1,48.8,96.0,97.3,97.1,74.0,82.1,88.2,82.6,89.5,91.1,94.3,95.7,90.8,m2f,1536,2048
val,96.1,0.0,76.6,5.1,0.0,72.6,85.8,67.4,27.9,0.0,37.9,0.0,53.9,14.2,0.0,77.1,35.2,m2f,2048,256
train,96.4,0.0,82.4,1.9,0.0,72.6,85.0,86.9,27.2,10.2,37.5,0.0,36.5,14.0,0.0,61.6,51.0,m2f,2048,256
val,97.6,0.0,87.6,9.7,0.0,79.6,92.7,70.7,43.2,15.6,46.7,43.0,69.9,40.7,0.0,83.6,43.4,m2f,2048,512
train,98.2,43.6,88.4,15.3,6.7,81.4,93.9,92.7,44.6,47.0,63.4,19.8,63.2,56.3,15.1,86.9,71.8,m2f,2048,512
val,98.1,8.5,90.4,27.3,19.8,85.4,95.4,70.0,60.2,25.2,56.3,61.1,77.7,61.2,0.0,88.4,40.7,m2f,2048,1024
train,99.0,62.5,93.9,32.3,26.5,93.7,97.0,96.1,61.2,67.5,79.4,54.3,78.4,86.2,90.8,92.7,85.9,m2f,2048,1024
val,98.1,27.7,91.5,42.9,37.8,86.1,96.1,70.9,67.8,33.8,63.8,41.3,79.0,62.0,0.0,90.5,43.2,m2f,2048,1536
train,99.2,74.2,95.4,42.9,39.8,95.4,97.7,96.5,70.4,77.0,86.4,78.9,85.5,90.1,90.9,94.7,88.3,m2f,2048,1536
val,98.1,44.7,91.8,45.7,28.3,86.3,95.7,71.0,70.2,20.3,63.7,37.7,78.9,61.0,0.0,90.5,43.1,m2f,2048,2048
train,99.2,76.8,95.8,47.0,44.9,95.5,97.3,96.6,73.5,78.8,88.5,77.7,89.3,89.9,90.1,95.2,89.8,m2f,2048,2048
val,97.4,0.0,85.6,0.0,0.0,82.1,91.5,64.6,46.8,5.6,7.5,31.3,43.9,48.1,0.0,75.1,40.2,deeplab,256,256
train,99.0,0.0,91.9,0.0,0.0,95.4,96.8,96.3,44.8,31.0,58.9,58.8,61.7,90.7,70.9,87.2,85.8,deeplab,256,256
val,95.4,0.0,80.8,0.0,0.0,74.4,71.8,61.5,47.1,2.0,6.8,4.6,16.1,39.7,1.6,67.0,25.1,deeplab,256,512
train,97.1,0.0,82.3,0.0,0.0,83.0,72.7,90.6,47.7,19.4,40.6,4.5,37.3,64.1,62.8,74.0,54.8,deeplab,256,512
