set_,Background,Animals,Asphalt,Cat's eyes,Cracks,Dirt road,Ego,Hard sand,Markings,Obstacles,People,Potholes,Retaining walls,Soft sand,Speed bump,Vehicles,Wet sand,model,train,eval
train,89.0,0.0,46.3,0.0,0.0,28.9,32.7,36.8,17.4,4.6,4.3,0.2,10.4,27.7,0.0,45.6,29.3,pplite,512,2048
val,95.1,0.0,74.2,0.0,0.0,57.2,54.3,3.1,22.2,0.0,7.8,0.0,27.1,16.6,0.0,65.9,27.2,pplite,1024,256
train,95.3,0.0,76.9,0.0,0.0,65.6,63.9,15.2,16.8,0.0,35.0,0.0,28.2,29.0,34.3,68.4,11.9,pplite,1024,256
val,97.3,0.0,86.6,0.0,0.0,76.7,88.9,53.0,43.7,0.0,5.9,36.0,61.1,41.2,0.0,82.5,39.1,pplite,1024,512
train,98.2,18.5,91.5,3.5,3.9,87.6,93.1,92.6,43.9,34.8,59.8,39.1,63.5,69.8,63.7,85.2,70.2,pplite,1024,512
val,97.4,18.0,89.5,9.0,0.0,82.3,89.9,63.3,60.3,0.0,14.9,46.0,59.8,50.1,4.7,85.5,39.7,pplite,1024,1024
train,99.0,68.6,95.7,31.2,33.1,97.0,93.1,97.5,66.5,70.4,80.1,77.0,83.3,93.0,82.9,94.4,91.7,pplite,1024,1024
val,96.5,19.8,86.9,12.8,0.0,78.0,86.1,66.9,57.3,0.0,12.1,20.7,41.0,47.4,6.6,77.9,35.8,pplite,1024,1536
train,98.4,55.8,94.0,22.8,18.8,92.3,91.1,95.7,64.7,53.9,78.1,37.9,72.7,83.2,76.1,92.0,82.8,pplite,1024,1536
val,94.0,16.8,76.2,6.5,0.0,69.0,69.3,62.4,50.2,0.0,10.7,13.4,26.1,35.6,4.7,70.2,25.2,pplite,1024,2048
train,95.9,30.4,85.9,8.0,3.6,78.2,75.3,77.8,55.9,12.5,56.7,9.9,45.0,59.1,41.6,84.9,65.5,pplite,1024,2048
val,92.7,0.0,66.7,0.0,0.0,53.2,42.9,1.9,21.4,0.0,7.3,0.0,17.8,6.0,0.0,51.5,6.9,pplite,1536,256
train,92.4,0.0,69.2,0.0,0.0,52.3,54.6,4.4,15.5,0.0,31.5,0.0,11.0,21.6,0.0,63.2,3.1,pplite,1536,256
val,94.1,0.0,82.6,0.0,0.0,72.7,54.4,48.5,42.6,0.0,11.1,25.9,58.1,33.0,0.0,81.8,42.4,pplite,1536,512
train,95.3,0.0,88.9,4.0,0.0,82.3,67.7,88.3,40.4,34.2,57.6,11.3,55.2,56.4,50.2,81.8,58.4,pplite,1536,512
val,94.5,0.0,88.7,11.4,0.0,82.0,55.4,63.3,62.4,6.4,29.0,50.9,67.4,49.6,0.0,85.6,40.0,pplite,1536,1024
train,95.8,60.6,94.8,27.5,20.7,94.3,62.4,95.5,64.5,66.6,75.9,71.5,76.2,87.0,86.5,91.4,82.9,pplite,1536,1024
val,95.2,17.7,90.5,20.8,1.0,82.6,60.0,64.0,68.0,8.7,15.0,48.1,58.7,49.8,5.0,84.5,40.1,pplite,1536,1536
train,96.7,74.7,96.3,46.9,43.0,97.1,66.6,97.4,74.3,78.6,85.9,81.1,86.6,93.6,92.9,94.9,91.3,pplite,1536,1536
val,95.4,36.1,89.4,21.3,4.3,81.0,63.1,63.4,63.8,0.6,16.4,45.6,43.4,50.1,6.2,81.1,38.3,pplite,1536,2048
train,96.9,70.7,95.6,37.9,39.9,95.1,70.0,96.5,72.7,75.5,84.8,62.8,83.4,89.4,92.2,93.7,86.4,pplite,1536,2048
val,91.1,0.0,65.9,0.0,0.0,54.0,37.5,0.0,16.1,0.0,6.1,0.0,14.2,0.0,0.0,18.3,0.0,pplite,2048,256
train,91.3,0.0,65.3,0.0,0.0,59.6,52.7,3.5,14.9,0.0,26.0,0.0,9.9,8.7,0.0,25.6,4.5,pplite,2048,256
val,96.2,0.0,80.4,0.0,0.0,67.7,76.1,31.6,38.2,0.0,8.5,7.2,55.2,13.2,0.0,67.8,20.4,pplite,2048,512
train,96.7,0.0,85.7,0.0,0.0,73.6,85.5,73.7,38.1,4.1,47.4,1.7,53.1,34.2,35.8,75.3,40.1,pplite,2048,512
val,97.4,0.0,87.9,3.8,0.0,81.8,92.3,61.5,58.8,11.1,10.6,47.8,70.8,41.8,0.0,87.2,37.3,pplite,2048,1024
train,98.4,34.9,93.5,21.0,7.2,88.7,96.7,93.6,60.5,38.8,64.7,61.3,72.7,72.4,75.0,88.6,73.5,pplite,2048,1024
val,97.7,0.0,89.5,13.3,3.7,83.1,94.5,63.3,67.4,18.0,13.6,49.9,68.6,50.3,0.0,85.3,39.2,pplite,2048,1536
train,99.1,70.0,95.9,41.4,38.5,95.7,98.0,96.7,73.0,71.4,80.0,78.6,84.8,90.2,88.3,93.4,86.8,pplite,2048,1536
val,97.7,0.5,89.4,18.3,9.2,81.8,93.3,64.7,70.0,11.4,14.9,46.9,63.9,51.2,0.1,83.5,39.1,pplite,2048,2048
train,99.4,75.3,96.6,55.1,50.4,97.2,97.8,97.6,77.8,78.1,85.8,80.8,89.6,93.9,93.0,95.3,91.7,pplite,2048,2048
